bin,left,right,data,expected
0,-6.0,-5.989998589047036,0.0,0.0012574417419974893
1,-5.989998589047036,-5.979997178094071,0.0,0.0012867354937684539
2,-5.979997178094071,-5.969995767141107,0.0,0.0013167116759715825
3,-5.969995767141107,-5.959994356188143,0.0,0.001347386228762737
4,-5.959994356188143,-5.949992945235178,0.0,0.0013787753319993712
5,-5.949992945235178,-5.939991534282214,0.0,0.0014108957348302198
6,-5.939991534282214,-5.929990123329249,0.0,0.0014437643661802113
7,-5.929990123329249,-5.919988712376285,0.0,0.001477398784190953
8,-5.919988712376285,-5.909987301423321,0.0,0.0015118167267802463
9,-5.909987301423321,-5.899985890470356,0.0,0.001547036471194474
10,-5.899985890470356,-5.889984479517392,0.0,0.001583076684195106
11,-5.889984479517392,-5.879983068564428,0.0,0.0016199565718721942
12,-5.879983068564428,-5.869981657611463,0.0,0.001657695580017382
13,-5.869981657611463,-5.859980246658499,0.0,0.0016963137536762929
14,-5.859980246658499,-5.849978835705534,0.0,0.001735831587335035
15,-5.849978835705534,-5.83997742475257,0.0,0.0017762700848455992
16,-5.83997742475257,-5.829976013799606,0.0,0.0018176506395750636
17,-5.829976013799606,-5.819974602846641,0.0,0.0018599951542563886
18,-5.819974602846641,-5.809973191893677,0.0,0.0019033261908019128
19,-5.809973191893677,-5.799971780940713,0.0,0.0019476666706763623
20,-5.799971780940713,-5.789970369987748,0.0,0.0019930401145984433
21,-5.789970369987748,-5.779968959034784,0.0,0.0020394706125781425
22,-5.779968959034784,-5.769967548081819,0.0,0.0020869827340286307
23,-5.769967548081819,-5.759966137128855,0.0,0.002135601737505155
24,-5.759966137128855,-5.749964726175891,0.0,0.002185353360966147
25,-5.749964726175891,-5.739963315222926,0.0,0.002236264031512114
26,-5.739963315222926,-5.729961904269962,0.0,0.0022883607155721464
27,-5.729961904269962,-5.719960493316998,0.0,0.0023416710687174103
28,-5.719960493316998,-5.709959082364033,0.0,0.002396223375735751
29,-5.709959082364033,-5.699957671411069,0.0,0.0024520465506316924
30,-5.699957671411069,-5.689956260458105,0.0,0.0025091701366264374
31,-5.689956260458105,-5.67995484950514,0.0,0.0025676245758221583
32,-5.67995484950514,-5.669953438552176,0.0,0.0026274407297988134
33,-5.669953438552176,-5.6599520275992115,0.0,0.0026886503889800295
34,-5.6599520275992115,-5.649950616646247,0.0,0.0027512860029688113
35,-5.649950616646247,-5.639949205693283,0.0,0.002815380830361036
36,-5.639949205693283,-5.6299477947403185,0.0,0.002880968788931959
37,-5.6299477947403185,-5.6199463837873544,0.0,0.002948084725300504
38,-5.6199463837873544,-5.60994497283439,0.0,0.00301676420519037
39,-5.60994497283439,-5.5999435618814255,0.0,0.003087043663243527
40,-5.5999435618814255,-5.5899421509284615,0.0,0.0031589603730575178
41,-5.5899421509284615,-5.5799407399754966,0.0,0.003232552477148154
42,-5.5799407399754966,-5.5699393290225325,0.0,0.003307858986949519
43,-5.5699393290225325,-5.5599379180695685,0.0,0.0033849199026647625
44,-5.5599379180695685,-5.549936507116604,0.0,0.003463776003527208
45,-5.549936507116604,-5.5399350961636395,0.0,0.0035444692073527406
46,-5.5399350961636395,-5.5299336852106755,0.0,0.003627042210987419
47,-5.5299336852106755,-5.519932274257711,0.0,0.0037115388798225624
48,-5.519932274257711,-5.509930863304747,0.0,0.0037980040380558577
49,-5.509930863304747,-5.4999294523517825,0.0,0.0038864834686913596
50,-5.4999294523517825,-5.489928041398818,0.0,0.003977024183203781
51,-5.489928041398818,-5.479926630445854,0.0,0.004069674121911504
52,-5.479926630445854,-5.469925219492889,0.0,0.0041644824835662675
53,-5.469925219492889,-5.459923808539925,0.0,0.004261499515614275
54,-5.459923808539925,-5.449922397586961,0.0,0.00436077669397239
55,-5.449922397586961,-5.439920986633996,0.0,0.004462366633140036
56,-5.439920986633996,-5.429919575681032,0.0,0.004566323295938091
57,-5.429919575681032,-5.419918164728068,0.0,0.004672701723844597
