bin,left,right,data,expected
0,-1.3979400086720375,-1.3879400086720375,0.0,0.0
1,-1.3879400086720375,-1.3779400086720375,0.0,0.0
2,-1.3779400086720375,-1.3679400086720375,0.0,0.0
3,-1.3679400086720375,-1.3579400086720375,0.0,0.0
4,-1.3579400086720375,-1.3479400086720374,0.0,0.0
5,-1.3479400086720374,-1.3379400086720374,0.0,0.0
6,-1.3379400086720374,-1.3279400086720374,0.0,0.0
7,-1.3279400086720374,-1.3179400086720374,0.0,0.0
8,-1.3179400086720374,-1.3079400086720374,0.0,0.0
9,-1.3079400086720374,-1.2979400086720374,0.0,0.0
10,-1.2979400086720374,-1.2879400086720374,0.0,0.0
11,-1.2879400086720374,-1.2779400086720374,0.0,0.0
12,-1.2779400086720374,-1.2679400086720376,0.0,0.0
13,-1.2679400086720376,-1.2579400086720374,0.0,0.0
14,-1.2579400086720374,-1.2479400086720376,0.0,0.0
15,-1.2479400086720376,-1.2379400086720376,0.0,0.0
16,-1.2379400086720376,-1.2279400086720376,0.0,0.0
17,-1.2279400086720376,-1.2179400086720376,0.0,0.0
18,-1.2179400086720376,-1.2079400086720375,0.0,0.0
19,-1.2079400086720375,-1.1979400086720375,0.0,0.0
20,-1.1979400086720375,-1.1879400086720375,0.0,0.0
21,-1.1879400086720375,-1.1779400086720375,0.0,0.0
22,-1.1779400086720375,-1.1679400086720375,0.0,0.0
23,-1.1679400086720375,-1.1579400086720375,0.0,0.0
24,-1.1579400086720375,-1.1479400086720375,0.0,0.0
25,-1.1479400086720375,-1.1379400086720375,0.0,0.0
26,-1.1379400086720375,-1.1279400086720375,0.0,0.0
27,-1.1279400086720375,-1.1179400086720375,0.0,0.0
28,-1.1179400086720375,-1.1079400086720375,0.0,0.0
29,-1.1079400086720375,-1.0979400086720374,0.0,0.0
30,-1.0979400086720374,-1.0879400086720374,0.0,0.0
31,-1.0879400086720374,-1.0779400086720374,0.0,0.0
32,-1.0779400086720374,-1.0679400086720374,0.0,0.0
33,-1.0679400086720374,-1.0579400086720374,0.0,0.0
34,-1.0579400086720374,-1.0479400086720374,0.0,0.0
35,-1.0479400086720374,-1.0379400086720376,0.0,0.0
36,-1.0379400086720376,-1.0279400086720374,0.0,0.0
37,-1.0279400086720374,-1.0179400086720376,0.0,0.0
38,-1.0179400086720376,-1.0079400086720374,0.0,0.0
39,-1.0079400086720374,-0.9979400086720375,0.0,0.0
40,-0.9979400086720375,-0.9879400086720375,0.0,0.0
41,-0.9879400086720375,-0.9779400086720376,0.0,0.0
42,-0.9779400086720376,-0.9679400086720376,0.0,0.0
43,-0.9679400086720376,-0.9579400086720375,0.0,0.0
44,-0.9579400086720375,-0.9479400086720375,0.0,0.0
45,-0.9479400086720375,-0.9379400086720375,0.0,0.0
46,-0.9379400086720375,-0.9279400086720375,0.0,0.0
47,-0.9279400086720375,-0.9179400086720375,0.0,0.0
48,-0.9179400086720375,-0.9079400086720375,0.0,0.0
49,-0.9079400086720375,-0.8979400086720375,0.0,0.0
50,-0.8979400086720375,-0.8879400086720375,0.0,0.0
51,-0.8879400086720375,-0.8779400086720375,0.0,0.0
52,-0.8779400086720375,-0.8679400086720375,0.0,0.0
53,-0.8679400086720375,-0.8579400086720375,0.0,0.0
54,-0.8579400086720375,-0.8479400086720374,0.0,0.0
55,-0.8479400086720374,-0.8379400086720374,0.0,0.0
56,-0.8379400086720374,-0.8279400086720374,0.0,0.0
57,-0.8279400086720374,-0.8179400086720375,0.0,0.0
58,-0.8179400086720375,-0.8079400086720375,0.0,0.0
59,-0.8079400086720375,-0.7979400086720375,0.0,0.0
60,-0.7979400086720375,-0.7879400086720375,0.0,0.0
61,-0.7879400086720375,-0.7779400086720375,0.0,0.0
62,-0.7779400086720375,-0.7679400086720375,0.0,0.0
63,-0.7679400086720375,-0.7579400086720375,0.0,0.0
64,-0.7579400086720375,-0.7479400086720375,0.0,0.0
65,-0.7479400086720375,-0.7379400086720375,0.0,0.0
66,-0.7379400086720375,-0.7279400086720375,0.0,0.0
67,-0.7279400086720375,-0.7179400086720374,0.0,0.0
68,-0.7179400086720374,-0.7079400086720374,0.0,0.0
69,-0.7079400086720374,-0.6979400086720374,0.0,0.0
70,-0.6979400086720374,-0.6879400086720375,0.0,0.0
71,-0.6879400086720375,-0.6779400086720375,0.0,0.0
72,-0.6779400086720375,-0.6679400086720375,0.0,0.0
73,-0.6679400086720375,-0.6579400086720375,0.0,0.0
