bin,left,right,data,expected
0,-3.0,-2.99,0.0,2.11774266653858
1,-2.99,-2.98,0.0,2.1187307443212338
2,-2.98,-2.97,0.0,2.1197420709417685
3,-2.97,-2.96,0.0,2.1207771988253787
4,-2.96,-2.95,0.0,2.1218366937569257
5,-2.95,-2.94,0.0,2.1229211352189807
6,-2.94,-2.93,0.0,2.1240311167606976
7,-2.93,-2.92,0.0,2.1251672463295233
8,-2.92,-2.91,0.0,2.1263301466128097
9,-2.91,-2.9,0.0,2.1275204554632685
10,-2.9,-2.89,0.0,2.128738826231857
11,-2.89,-2.88,0.0,2.1299859281791895
12,-2.88,-2.87,0.0,2.1312624468748593
13,-2.87,-2.86,0.0,2.132569084613395
14,-2.86,-2.85,0.0,2.1339065608318006
15,-2.85,-2.84,0.0,2.13527561254209
16,-2.84,-2.83,0.0,2.136676994791394
17,-2.83,-2.82,0.0,2.138111481107024
18,-2.82,-2.81,0.0,2.139579863978182
19,-2.81,-2.8,0.0,2.141082955333033
20,-2.8,-2.79,0.0,2.142621587029024
21,-2.79,-2.78,0.0,2.14419661139258
22,-2.78,-2.77,0.0,2.1458089016953266
23,-2.77,-2.76,0.0,2.147459352751641
24,-2.76,-2.75,0.0,2.1491488814170308
25,-2.75,-2.74,0.0,2.1508784271908077
26,-2.74,-2.73,0.0,2.152648952793327
27,-2.73,-2.7199999999999998,0.0,2.1544614447672807
28,-2.7199999999999998,-2.71,0.0,2.1563169140762812
29,-2.71,-2.7,0.0,2.1582163967756984
30,-2.7,-2.69,0.0,2.1601609546240104
31,-2.69,-2.68,0.0,2.1621516757855614
32,-2.68,-2.67,0.0,2.1641896754932097
33,-2.67,-2.66,0.0,2.1662760967838985
34,-2.66,-2.65,0.0,2.1684121111864076
35,-2.65,-2.64,0.0,2.170598919517706
36,-2.64,-2.63,0.0,2.172837752597746
37,-2.63,-2.62,0.0,2.1751298720918713
38,-2.62,-2.61,0.0,2.1774765712855144
39,-2.61,-2.6,0.0,2.179879175927699
40,-2.6,-2.59,0.0,2.1823390451055804
41,-2.59,-2.58,0.0,2.1848575720990926
42,-2.58,-2.57,0.0,2.187436185317731
43,-2.57,-2.56,0.0,2.190076349208685
44,-2.56,-2.55,0.0,2.1927795652319166
45,-2.55,-2.54,0.0,2.1955473728374804
46,-2.54,-2.53,0.0,2.198381350489782
47,-2.53,-2.52,0.0,2.2012831166964366
48,-2.52,-2.51,0.0,2.2042543310898863
49,-2.51,-2.5,0.0,2.2072966955373983
50,-2.5,-2.49,0.0,2.210411955253773
51,-2.49,-2.48,0.0,2.213601899996351
52,-2.48,-2.4699999999999998,0.0,2.216868365231722
53,-2.4699999999999998,-2.46,0.0,2.220213233401568
54,-2.46,-2.45,0.0,2.2236384351671963
55,-2.45,-2.44,0.0,2.227145950727672
56,-2.44,-2.4299999999999997,0.0,2.2307378111540315
57,-2.4299999999999997,-2.42,0.0,2.2344160997735765
58,-2.42,-2.41,0.0,2.238182953581281
59,-2.41,-2.4,0.0,2.242040564709068
60,-2.4,-2.39,0.0,2.24599118191106
61,-2.39,-2.38,0.0,2.250037112125113
62,-2.38,-2.37,0.0,2.2541807220311436
63,-2.37,-2.36,0.0,2.258424439708727
64,-2.36,-2.35,0.0,2.2627707562927726
65,-2.35,-2.34,0.0,2.2672222276981593
66,-2.34,-2.33,0.0,2.2717814764022135
67,-2.33,-2.32,0.0,2.2764511932430977
68,-2.32,-2.31,0.0,2.2812341393043702
69,-2.31,-2.3,0.0,2.2861331478260234
70,-2.3,-2.29,0.0,2.2911511261812594
71,-2.29,-2.2800000000000002,0.0,2.2962910579009495
72,-2.2800000000000002,-2.27,0.0,2.3015560047466956
73,-2.27,-2.26,0.0,2.306949108859446
74,-2.26,-2.25,0.0,2.312473594941075
75,-2.25,-2.24,0.0,2.318132772513078
76,-2.24,-2.23,0.0,2.3239300382111816
77,-2.23,-2.2199999999999998,0.0,2.3298688781743
78,-2.2199999999999998,-2.21,0.0,2.3359528704528136
79,-2.21,-2.2,0.0,2.342185687516406
80,-2.2,-2.19,0.0,2.3485710987894777
81,-2.19,-2.1799999999999997,0.0,2.355112973277472
82,-2.1799999999999997,-2.17,0.0,2.361815282242735
83,-2.17,-2.16,0.0,2.3686821019381847
84,-2.16,-2.15,0.0,2.375717616422216
85,-2.15,-2.14,0.0,2.38292612041549
86,-2.14,-2.13,0.0,2.390312022246589
87,-2.13,-2.12,0.0,2.3978798468333586
88,-2.12,-2.11,0.0,2.4056342387492444
89,-2.11,-2.1,0.0,2.4135799653402343
90,-2.1,-2.09,0.0,2.421721919905302
91,-2.09,-2.08,0.0,2.4300651249371783
92,-2.08,-2.07,0.0,2.4386147354184318
93,-2.07,-2.06,0.0,2.447376042174121
94,-2.06,-2.05,0.0,2.4563544752784745
95,-2.05,-2.04,0.0,2.4655556075100193
