bin,left,right,data,expected
0,-2.0,-1.99,0.0,9.906189664152464e-05
1,-1.99,-1.98,0.0,9.952506610953243e-05
2,-1.98,-1.97,0.0,0.0001000011514031484
3,-1.97,-1.96,0.0,0.00010049056309341981
4,-1.96,-1.95,0.0,0.00010099372660946406
5,-1.95,-1.94,0.0,0.00010151108522760336
6,-1.94,-1.93,0.0,0.00010204309675287727
7,-1.93,-1.92,0.0,0.000102590239051896
8,-1.92,-1.91,0.0,0.00010315300659639035
9,-1.91,-1.9,0.0,0.0001037319144863366
10,-1.9,-1.89,0.0,0.00010432749666797693
11,-1.89,-1.88,0.0,0.00010494030957346221
12,-1.88,-1.87,0.0,0.00010557093110183156
13,-1.87,-1.8599999999999999,0.0,0.00010621996234185754
14,-1.8599999999999999,-1.85,0.0,0.00010688802900411273
15,-1.85,-1.84,0.0,0.00010757578189771294
16,-1.84,-1.83,0.0,0.00010828389904357821
17,-1.83,-1.82,0.0,0.00010901308575548084
18,-1.82,-1.81,0.0,0.00010976407753646481
19,-1.81,-1.8,0.0,0.00011053764070421137
20,-1.8,-1.79,0.0,0.00011133457300937746
21,-1.79,-1.78,0.0,0.00011215570759820772
22,-1.78,-1.77,0.0,0.00011300191257648404
23,-1.77,-1.76,0.0,0.00011387409382508486
24,-1.76,-1.75,0.0,0.00011477319682502729
25,-1.75,-1.74,0.0,0.0001157002086649419
26,-1.74,-1.73,0.0,0.00011665616015406749
27,-1.73,-1.72,0.0,0.0001176421282288536
28,-1.72,-1.71,0.0,0.00011865923830267718
29,-1.71,-1.7,0.0,0.00011970866724291001
30,-1.7,-1.69,0.0,0.0001207916452635216
31,-1.69,-1.68,0.0,0.00012190945963985447
32,-1.68,-1.67,0.0,0.00012306345795855733
33,-1.67,-1.66,0.0,0.00012425505034056487
34,-1.66,-1.65,0.0,0.00012548571442844928
35,-1.65,-1.6400000000000001,0.0,0.00012675699773400203
36,-1.6400000000000001,-1.63,0.0,0.00012807052245331912
37,-1.63,-1.62,0.0,0.0001294279899453045
38,-1.62,-1.6099999999999999,0.0,0.0001308311842295347
39,-1.6099999999999999,-1.6,0.0,0.00013228197756897598
40,-1.6,-1.5899999999999999,0.0,0.0001337823357198503
41,-1.5899999999999999,-1.58,0.0,0.00013533432278414964
42,-1.58,-1.57,0.0,0.00013694010760341018
43,-1.57,-1.56,0.0,0.00013860196982671234
44,-1.56,-1.55,0.0,0.0001403223062602225
45,-1.55,-1.54,0.0,0.00014210363883879057
46,-1.54,-1.53,0.0,0.00014394862125572243
47,-1.53,-1.52,0.0,0.00014586004761003586
48,-1.52,-1.51,0.0,0.00014784086156834837
49,-1.51,-1.5,0.0,0.00014989416454376598
50,-1.5,-1.49,0.0,0.0001520232271515446
51,-1.49,-1.48,0.0,0.0001542314987395983
52,-1.48,-1.47,0.0,0.00015652261960654167
53,-1.47,-1.46,0.0,0.00015890043301449623
54,-1.46,-1.45,0.0,0.00016136899897962337
55,-1.45,-1.44,0.0,0.00016393260769095833
56,-1.44,-1.43,0.0,0.0001665957956835528
57,-1.43,-1.42,0.0,0.0001693633617971829
58,-1.42,-1.4100000000000001,0.0,0.00017224038520178523
59,-1.4100000000000001,-1.4,0.0,0.00017523224427891745
60,-1.4,-1.3900000000000001,0.0,0.00017834463729744486
61,-1.3900000000000001,-1.38,0.0,0.00018158360485882416
62,-1.38,-1.37,0.0,0.00018495555330329266
63,-1.37,-1.3599999999999999,0.0,0.00018846728088161592
64,-1.3599999999999999,-1.35,0.0,0.0001921260056207838
65,-1.35,-1.3399999999999999,0.0,0.00019593939538229874
66,-1.3399999999999999,-1.33,0.0,0.00019991560031405964
67,-1.33,-1.3199999999999998,0.0,0.0002040632882574371
68,-1.3199999999999998,-1.31,0.0,0.00020839168295683393
69,-1.31,-1.2999999999999998,0.0,0.0002129106049185227
70,-1.2999999999999998,-1.29,0.0,0.0002176305168103131
71,-1.29,-1.28,0.0,0.000222562571293216
72,-1.28,-1.27,0.0,0.00022771866440392583
73,-1.27,-1.26,0.0,0.00023311149216507265
74,-1.26,-1.25,0.0,0.00023875461307906536
75,-1.25,-1.24,0.0,0.0002446625156112708
76,-1.24,-1.23,0.0,0.0002508506916949319
77,-1.23,-1.22,0.0,0.00025733571668513564
78,-1.22,-1.21,0.0,0.0002641353368279388
79,-1.21,-1.2,0.0,0.00027126856410101315
80,-1.2,-1.19,0.0,0.0002787557798968089
81,-1.19,-1.18,0.0,0.00028661884874427
