bin,left,right,data,expected
0,-2.3979400086720375,-2.3879400086720377,0.0,0.055999945661988584
1,-2.3879400086720377,-2.3779400086720375,0.0,0.05610453095862799
2,-2.3779400086720375,-2.3679400086720377,0.0,0.056211728720159615
3,-2.3679400086720377,-2.3579400086720375,0.0,0.05632160836209794
4,-2.3579400086720375,-2.3479400086720377,0.0,0.056434241334095726
5,-2.3479400086720377,-2.3379400086720374,0.0,0.05654970119610574
6,-2.3379400086720374,-2.3279400086720377,0.0,0.05666806368592656
7,-2.3279400086720377,-2.3179400086720374,0.0,0.05678940679214889
8,-2.3179400086720374,-2.3079400086720376,0.0,0.05691381083531525
9,-2.3079400086720376,-2.2979400086720374,0.0,0.057041358544600025
10,-2.2979400086720374,-2.2879400086720376,0.0,0.05717213514282338
11,-2.2879400086720376,-2.2779400086720374,0.0,0.0573062284337544
12,-2.2779400086720374,-2.2679400086720376,0.0,0.05744372888948395
13,-2.2679400086720376,-2.2579400086720374,0.0,0.05758472974928312
14,-2.2579400086720374,-2.2479400086720376,0.0,0.05772932711135988
15,-2.2479400086720376,-2.2379400086720374,0.0,0.057877620041353
16,-2.2379400086720374,-2.2279400086720376,0.0,0.05802971067359069
17,-2.2279400086720376,-2.2179400086720373,0.0,0.05818570432227867
18,-2.2179400086720373,-2.2079400086720375,0.0,0.058345709599547796
19,-2.2079400086720375,-2.1979400086720373,0.0,0.05850983853147048
20,-2.1979400086720373,-2.1879400086720375,0.0,0.05867820668733721
21,-2.1879400086720375,-2.1779400086720373,0.0,0.058850933306682424
22,-2.1779400086720373,-2.1679400086720375,0.0,0.05902814143641989
23,-2.1679400086720375,-2.1579400086720373,0.0,0.05920995807507949
24,-2.1579400086720373,-2.1479400086720375,0.0,0.05939651431683656
25,-2.1479400086720375,-2.1379400086720377,0.0,0.05958794550949701
26,-2.1379400086720377,-2.1279400086720375,0.0,0.05978439141417373
27,-2.1279400086720375,-2.1179400086720372,0.0,0.059985996375163886
28,-2.1179400086720372,-2.1079400086720375,0.0,0.06019290949368883
29,-2.1079400086720375,-2.0979400086720377,0.0,0.06040528481486054
30,-2.0979400086720377,-2.0879400086720374,0.0,0.060623281517302785
31,-2.0879400086720374,-2.0779400086720377,0.0,0.060847064114069996
32,-2.0779400086720377,-2.0679400086720374,0.0,0.061076802665055635
33,-2.0679400086720374,-2.0579400086720376,0.0,0.06131267299371851
34,-2.0579400086720376,-2.0479400086720374,0.0,0.06155485691872437
35,-2.0479400086720374,-2.0379400086720376,0.0,0.061803542492292404
36,-2.0379400086720376,-2.0279400086720374,0.0,0.06205892425380265
37,-2.0279400086720374,-2.0179400086720376,0.0,0.062321203490794216
38,-2.0179400086720376,-2.0079400086720374,0.0,0.06259058851687392
39,-2.0079400086720374,-1.9979400086720376,0.0,0.06286729495818388
40,-1.9979400086720376,-1.9879400086720374,0.0,0.0631515460564724
41,-1.9879400086720374,-1.9779400086720376,0.0,0.06344357298683388
42,-1.9779400086720376,-1.9679400086720376,0.0,0.06374361518797385
43,-1.9679400086720376,-1.9579400086720375,0.0,0.06405192071154153
44,-1.9579400086720375,-1.9479400086720375,0.0,0.06436874658694591
45,-1.9479400086720375,-1.9379400086720375,0.0,0.06469435920346552
46,-1.9379400086720375,-1.9279400086720375,0.0,0.06502903471254144
47,-1.9279400086720375,-1.9179400086720375,0.0,0.06537305944928144
48,-1.9179400086720375,-1.9079400086720375,0.0,0.06572673037525044
49,-1.9079400086720375,-1.8979400086720375,0.0,0.06609035554206863
50,-1.8979400086720375,-1.8879400086720375,0.0,0.06646425457977873
51,-1.8879400086720375,-1.8779400086720375,0.0,0.06684875921063643
52,-1.8779400086720375,-1.8679400086720375,0.0,0.06724421378624028
53,-1.8679400086720375,-1.8579400086720375,0.0,0.06765097585491084
54,-1.8579400086720375,-1.8479400086720374,0.0,0.06806941675617509
55,-1.8479400086720374,-1.8379400086720374,0.0,0.06849992224802706
56,-1.8379400086720374,-1.8279400086720374,0.0,0.06894289316417695
57,-1.8279400086720374,-1.8179400086720374,0.0,0.06939874610943164
58,-1.8179400086720374,-1.8079400086720376,0.0,0.06986791418666992
59,-1.8079400086720376,-1.7979400086720374,0.0,0.07035084776668263
60,-1.7979400086720374,-1.7879400086720376,0.0,0.0708480152969237
61,-1.7879400086720376,-1.7779400086720374,0.0,0.07135990415342901
62,-1.7779400086720374,-1.7679400086720376,0.0,0.07188702153831462
63,-1.7679400086720376,-1.7579400086720374,0.0,0.0724298954272677
64,-1.7579400086720374,-1.7479400086720376,0.0,0.07298907556677632
65,-1.7479400086720376,-1.7379400086720374,0.0,0.0735651345262018
66,-1.7379400086720374,-1.7279400086720376,0.0,0.07415866880806272
67,-1.7279400086720376,-1.7179400086720373,0.0,0.07477030002001862
68,-1.7179400086720373,-1.7079400086720375,0.0,0.0754006761099262
69,-1.7079400086720375,-1.6979400086720373,0.0,0.07605047267215018
70,-1.6979400086720373,-1.6879400086720375,0.0,0.0767203943251046
71,-1.6879400086720375,-1.6779400086720375,0.0,0.07741117616774772
72,-1.6779400086720375,-1.6679400086720375,0.0,0.0781235853184237
73,-1.6679400086720375,-1.6579400086720375,0.0,0.07885842253995297
74,-1.6579400086720375,-1.6479400086720375,0.0,0.07961652396004898
75,-1.6479400086720375,-1.6379400086720375,0.0,0.0803987628885183
76,-1.6379400086720375,-1.6279400086720375,0.0,0.08120605174057745
77,-1.6279400086720375,-1.6179400086720375,0.0,0.08203934407238983
78,-1.6179400086720375,-1.6079400086720375,0.0,0.0828996367334843
79,-1.6079400086720375,-1.5979400086720374,0.0,0.08378797214854622
80,-1.5979400086720374,-1.5879400086720374,0.0,0.08470544073043838
81,-1.5879400086720374,-1.5779400086720374,0.0,0.08565318343892223
82,-1.5779400086720374,-1.5679400086720374,0.0,0.08663239448969909
83,-1.5679400086720374,-1.5579400086720376,0.0,0.0876443242271706
84,-1.5579400086720376,-1.5479400086720374,0.0,0.08869028216880832
85,-1.5479400086720374,-1.5379400086720376,0.0,0.08977164023283722
86,-1.5379400086720376,-1.5279400086720374,0.0,0.09088983616378533
87,-1.5279400086720374,-1.5179400086720376,0.0,0.09204637716408302
88,-1.5179400086720376,-1.5079400086720374,0.0,0.09324284374962054
89,-1.5079400086720374,-1.4979400086720376,0.0,0.09448089384207307
90,-1.4979400086720376,-1.4879400086720374,0.0,0.09576226711255932
91,-1.4879400086720374,-1.4779400086720376,0.0,0.09708878959619416
92,-1.4779400086720376,-1.4679400086720373,0.0,0.0984623785920427
93,-1.4679400086720373,-1.4579400086720375,0.0,0.09988504787038627
94,-1.4579400086720375,-1.4479400086720373,0.0,0.1013589132057697
95,-1.4479400086720373,-1.4379400086720375,0.0,0.1028861982584572
96,-1.4379400086720375,-1.4279400086720375,0.0,0.10446924082713073
97,-1.4279400086720375,-1.4179400086720375,0.0,0.10611049949799839
98,-1.4179400086720375,-1.4079400086720375,0.0,0.10781256071627808
99,-1.4079400086720375,-1.3979400086720375,0.0,0.1095781463094411
100,-1.3979400086720375,-1.3879400086720375,0.0,0.11141012149031675
101,-1.3879400086720375,-1.3779400086720375,0.0,0.11331150337468293
102,-1.3779400086720375,-1.3679400086720375,0.0,0.11528547004616733
103,-1.3679400086720375,-1.3579400086720375,0.0,0.11733537020535482
